MONDAY ,TUESDAY ,WEDNESDAY ,THURSDAY ,FRIDAY ,SATURDAY ,SUNDAY 
"Hot or cold cereals, eggs any style, toasts, pancakes, fresh fruit ","Hot or cold cereals, eggs any style, toasts, pancakes, fresh fruit, bacon or Sausages","Hot or cold cereals, eggs any style, toasts, pancakes, fresh fruit","Hot or cold cereals
eggs any style
toasts, pancakes, fresh fruit salad bar, bacon or sausages 
","Hot or cold cereals, eggs any style, toasts, pancakes, fresh fruit ","Hot or cold cereals, eggs any style, toasts, pancakes, fresh fruit , bacon or sausages
","Hot or cold cereals, eggs any style, toasts, pancakes, fresh fruit , bacon or sausage 
"
"Salmon, tomato, cheese sandwich","Salmon, tomato, cheese sandwich","Salmon, tomato, cheese sandwich","Salmon, tomato, cheese sandwich","Salmon, tomato, cheese sandwich","Salmon, tomato, cheese sandwich","Salmon, tomato, cheese sandwich"
Greek Salad with House Dressing,Baby Spinach Salad ,Caeser Salad,House Garden,Baby Spinach,Baby Spinach Salad ,House Garden Salad 
" Grilled Italian Ham Sandwich with Mozza, lettuce , tomato","BBQ Pulled Pork Sandwich  , Toasted Bun","Grilled Chicken Burger , Chippers","Bacon,Bell Pepper, Onion,Cheese Mini  Quiche ","Cream Cheese,Ribbon Cucumber, Rye","BLT ,Toasted Whole Wheat",Vegetarian Omelette 
"Vegetarian Lasagna , warm Roll","Seasoned Chicken Breast ,Mashed Potatoes, ","Sweet ,Sour  Chicken  Stir-Fry , Vegetable Rice ","Tomato Basil Cabbage Rolls ,Mashed Potatoes ,Steamed Green Peas","Smokey Applewood Salmon ,Steamed Long Grain Rice Peas ","Chicken Parmesan ,Mashed Potates ,Buttered Cauliflower","Braised Corned Beef Scallop Potatoes ,Buttered Peaches , Cream Corn "
"Pork Soulvaki Bites , Mashed Potatoes , Broccoli","Meatball Stroganoff  ,vegetable Rice","Pan Seared Trout , White Rice ,Mixed Vegetable","Honey Garlic Chicken Breast , Roasted Potatoes,Buttered Corn on the Cob
","Beef Liver , Seasoned Beef Gravy ,Mashed Potatoes, Buttered Braised Cabbage","Open face beef sandwich ,seasoned gravy, mashed Potatoes ,Braised Green Cabbage","Ginger Garlic Cod Loin ,Vegetable Rice, coleslaw ,Lemon Wedge"
